returnername,gamescore,returnPointProbability_top20,opponentScore,playerscore
Diego Sebastian Schwartzman,0-0,.28333333,0,0
Diego Sebastian Schwartzman,0-15,.47058824,0,1
Diego Sebastian Schwartzman,0-30,.25,0,2
Diego Sebastian Schwartzman,0-40,.5,0,3
Diego Sebastian Schwartzman,15-0,.18604651,1,0
Diego Sebastian Schwartzman,15-15,.41176471,1,1
Diego Sebastian Schwartzman,15-30,.38461539,1,2
Diego Sebastian Schwartzman,15-40,.66666669,1,3
Diego Sebastian Schwartzman,30-0,.34285715,2,0
Diego Sebastian Schwartzman,30-15,.31818181,2,1
Diego Sebastian Schwartzman,30-30,.40000001,2,2
Diego Sebastian Schwartzman,30-40,.125,2,3
Diego Sebastian Schwartzman,40-0,.39130434,3,0
Diego Sebastian Schwartzman,40-15,.41666666,3,1
Diego Sebastian Schwartzman,40-30,.36842105,3,2
Diego Sebastian Schwartzman,40-40,.48148149,3,3
Diego Sebastian Schwartzman,40-50,.46153846,3,4
Diego Sebastian Schwartzman,50-40,.42857143,4,3
Dominic Thiem,0-0,.35514018,0,0
Dominic Thiem,0-15,.31578946,0,1
Dominic Thiem,0-30,.58333331,0,2
Dominic Thiem,0-40,.14285715,0,3
Dominic Thiem,15-0,.30434781,1,0
Dominic Thiem,15-15,.38297874,1,1
Dominic Thiem,15-30,.30434781,1,2
Dominic Thiem,15-40,.15384616,1,3
Dominic Thiem,30-0,.29166666,2,0
Dominic Thiem,30-15,.39534885,2,1
Dominic Thiem,30-30,.36363637,2,2
Dominic Thiem,30-40,.26086956,2,3
Dominic Thiem,40-0,.20588236,3,0
Dominic Thiem,40-15,.24242425,3,1
Dominic Thiem,40-30,.20689656,3,2
Dominic Thiem,40-40,.42222223,3,3
Dominic Thiem,40-50,.42105263,3,4
Dominic Thiem,50-40,.42307693,4,3
Donald Young,0-0,.27777779,0,0
Donald Young,0-15,.25714287,0,1
Donald Young,0-30,.44444445,0,2
Donald Young,0-40,.25,0,3
Donald Young,15-0,.3956044,1,0
Donald Young,15-15,.43548387,1,1
Donald Young,15-30,.46875,1,2
Donald Young,15-40,.33333334,1,3
Donald Young,30-0,.34545454,2,0
Donald Young,30-15,.35185185,2,1
Donald Young,30-30,.30555555,2,2
Donald Young,30-40,.52173913,2,3
Donald Young,40-0,.25,3,0
Donald Young,40-15,.34090909,3,1
Donald Young,40-30,.47499999,3,2
Donald Young,40-40,.45588234,3,3
Donald Young,40-50,.38709676,3,4
Donald Young,50-40,.51351351,4,3
Dudi Sela,0-0,.25581396,0,0
Dudi Sela,0-15,.36363637,0,1
Dudi Sela,0-30,0,0,2
Dudi Sela,15-0,.25,1,0
Dudi Sela,15-15,.40000001,1,1
Dudi Sela,15-30,.40000001,1,2
Dudi Sela,15-40,0,1,3
Dudi Sela,30-0,.41666666,2,0
Dudi Sela,30-15,.052631579,2,1
Dudi Sela,30-30,.42857143,2,2
Dudi Sela,30-40,.2857143,2,3
Dudi Sela,40-0,.42857143,3,0
Dudi Sela,40-15,.45833334,3,1
Dudi Sela,40-30,.26666668,3,2
Dudi Sela,40-40,.25,3,3
Dudi Sela,40-50,.33333334,3,4
Dudi Sela,50-40,.11111111,4,3
Dusan Lajovic,0-0,.42553192,0,0
Dusan Lajovic,0-15,.34999999,0,1
Dusan Lajovic,0-30,.2857143,0,2
Dusan Lajovic,0-40,1,0,3
Dusan Lajovic,15-0,.37037036,1,0
Dusan Lajovic,15-15,.43478259,1,1
Dusan Lajovic,15-30,.26666668,1,2
Dusan Lajovic,15-40,0,1,3
Dusan Lajovic,30-0,.47058824,2,0
Dusan Lajovic,30-15,.19047619,2,1
Dusan Lajovic,30-30,.26666668,2,2
Dusan Lajovic,30-40,.375,2,3
Dusan Lajovic,40-0,.33333334,3,0
Dusan Lajovic,40-15,.5,3,1
Dusan Lajovic,40-30,.14285715,3,2
Dusan Lajovic,40-40,.26666668,3,3
Dusan Lajovic,40-50,.5,3,4
Dusan Lajovic,50-40,.45454547,4,3
Dustin Brown,0-0,.36065573,0,0
Dustin Brown,0-15,.36363637,0,1
Dustin Brown,0-30,.125,0,2
Dustin Brown,0-40,1,0,3
Dustin Brown,15-0,.38461539,1,0
Dustin Brown,15-15,.31034482,1,1
Dustin Brown,15-30,.25,1,2
Dustin Brown,15-40,0,1,3
Dustin Brown,30-0,.45833334,2,0
Dustin Brown,30-15,.25806451,2,1
Dustin Brown,30-30,.25,2,2
Dustin Brown,30-40,.22222222,2,3
Dustin Brown,40-0,.38461539,3,0
Dustin Brown,40-15,.32142857,3,1
Dustin Brown,40-30,.375,3,2
Dustin Brown,40-40,.32142857,3,3
Dustin Brown,40-50,.33333334,3,4
Dustin Brown,50-40,.31578946,4,3
Edouard Roger-Vasselin,0-0,.38095239,0,0
Edouard Roger-Vasselin,0-15,.29166666,0,1
Edouard Roger-Vasselin,0-30,.42857143,0,2
Edouard Roger-Vasselin,0-40,.33333334,0,3
Edouard Roger-Vasselin,15-0,.2820513,1,0
Edouard Roger-Vasselin,15-15,.35714287,1,1
Edouard Roger-Vasselin,15-30,.42857143,1,2
Edouard Roger-Vasselin,15-40,.25,1,3
Edouard Roger-Vasselin,30-0,.5,2,0
Edouard Roger-Vasselin,30-15,.375,2,1
Edouard Roger-Vasselin,30-30,.34999999,2,2
Edouard Roger-Vasselin,30-40,.46153846,2,3
Edouard Roger-Vasselin,40-0,.64285713,3,0
Edouard Roger-Vasselin,40-15,.44827586,3,1
Edouard Roger-Vasselin,40-30,.38461539,3,2
Edouard Roger-Vasselin,40-40,.3548387,3,3
Edouard Roger-Vasselin,40-50,.18181819,3,4
Edouard Roger-Vasselin,50-40,.25,4,3
Eilas Ymer,0-0,.69999999,0,0
Eilas Ymer,0-15,.42857143,0,1
Eilas Ymer,0-30,0,0,2
Eilas Ymer,15-0,0,1,0
Eilas Ymer,15-15,.75,1,1
Eilas Ymer,15-30,.5,1,2
Eilas Ymer,15-40,.66666669,1,3
Eilas Ymer,30-0,0,2,0
Eilas Ymer,30-15,1,2,1
Eilas Ymer,30-30,0,2,2
Eilas Ymer,30-40,0,2,3
Eilas Ymer,40-0,.66666669,3,0
Eilas Ymer,40-15,.5,3,1
Eilas Ymer,40-30,.60000002,3,2
Eilas Ymer,40-40,.33333334,3,3
Eilas Ymer,40-50,.5,3,4
Eilas Ymer,50-40,.25,4,3
Ernests Gulbis,0-0,.30612245,0,0
Ernests Gulbis,0-15,.2,0,1
Ernests Gulbis,0-30,.66666669,0,2
Ernests Gulbis,0-40,.5,0,3
Ernests Gulbis,15-0,.2647059,1,0
Ernests Gulbis,15-15,.26190478,1,1
Ernests Gulbis,15-30,.46153846,1,2
Ernests Gulbis,15-40,.25,1,3
Ernests Gulbis,30-0,.38,2,0
Ernests Gulbis,30-15,.23999999,2,1
Ernests Gulbis,30-30,.21052632,2,2
Ernests Gulbis,30-40,.30000001,2,3
Ernests Gulbis,40-0,.22580644,3,0
Ernests Gulbis,40-15,.42222223,3,1
Ernests Gulbis,40-30,.23529412,3,2
Ernests Gulbis,40-40,.44827586,3,3
Ernests Gulbis,40-50,.38461539,3,4
Ernests Gulbis,50-40,.375,4,3
Evgeny Donskoy,0-0,.33333334,0,0
Evgeny Donskoy,0-15,.27272728,0,1
Evgeny Donskoy,0-30,0,0,2
Evgeny Donskoy,15-0,.40909091,1,0
Evgeny Donskoy,15-15,.23529412,1,1
Evgeny Donskoy,15-30,.2857143,1,2
Evgeny Donskoy,15-40,.5,1,3
Evgeny Donskoy,30-0,.30769232,2,0
Evgeny Donskoy,30-15,.35294119,2,1
Evgeny Donskoy,30-30,.18181819,2,2
Evgeny Donskoy,30-40,0,2,3
Evgeny Donskoy,40-0,.11111111,3,0
Evgeny Donskoy,40-15,.41666666,3,1
Evgeny Donskoy,40-30,.2857143,3,2
Evgeny Donskoy,40-40,.15384616,3,3
Evgeny Donskoy,40-50,0,3,4
Evgeny Donskoy,50-40,.36363637,4,3
Fabio Fognini,0-0,.3881579,0,0
Fabio Fognini,0-15,.44067797,0,1
Fabio Fognini,0-30,.61538464,0,2
Fabio Fognini,0-40,.3125,0,3
Fabio Fognini,15-0,.33333334,1,0
Fabio Fognini,15-15,.34375,1,1
Fabio Fognini,15-30,.1875,1,2
Fabio Fognini,15-40,.35294119,1,3
Fabio Fognini,30-0,.43548387,2,0
Fabio Fognini,30-15,.43478259,2,1
Fabio Fognini,30-30,.39285713,2,2
Fabio Fognini,30-40,.30303031,2,3
Fabio Fognini,40-0,.31428573,3,0
Fabio Fognini,40-15,.25999999,3,1
Fabio Fognini,40-30,.46808511,3,2
Fabio Fognini,40-40,.43055555,3,3
Fabio Fognini,40-50,.51612902,3,4
Fabio Fognini,50-40,.29268292,4,3
Facundo Arguello,0-0,.14285715,0,0
Facundo Arguello,0-15,.66666669,0,1
Facundo Arguello,0-30,1,0,2
Facundo Arguello,0-40,0,0,3
Facundo Arguello,15-0,.33333334,1,0
Facundo Arguello,15-15,.14285715,1,1
Facundo Arguello,15-30,0,1,2
Facundo Arguello,15-40,.5,1,3
Facundo Arguello,30-0,.33333334,2,0
Facundo Arguello,30-15,.30000001,2,1
Facundo Arguello,30-30,0,2,2
Facundo Arguello,30-40,1,2,3
Facundo Arguello,40-0,.375,3,0
Facundo Arguello,40-15,.2,3,1
Facundo Arguello,40-30,.16666667,3,2
Facundo Arguello,40-40,.25,3,3
Facundo Arguello,40-50,0,3,4
Facundo Arguello,50-40,.66666669,4,3
Federico Delbonis,0-0,.26153848,0,0
Federico Delbonis,0-15,.35294119,0,1
Federico Delbonis,0-30,.33333334,0,2
Federico Delbonis,0-40,.5,0,3
Federico Delbonis,15-0,.45833334,1,0
Federico Delbonis,15-15,.18181819,1,1
Federico Delbonis,15-30,.2,1,2
Federico Delbonis,15-40,.33333334,1,3
Federico Delbonis,30-0,.1923077,2,0
Federico Delbonis,30-15,.25,2,1
Federico Delbonis,30-30,.3125,2,2
Federico Delbonis,30-40,.71428573,2,3
Federico Delbonis,40-0,.2857143,3,0
Federico Delbonis,40-15,.26666668,3,1
Federico Delbonis,40-30,.31578946,3,2
Federico Delbonis,40-40,.33333334,3,3
Federico Delbonis,40-50,.25,3,4
Federico Delbonis,50-40,.125,4,3
Feliciano Lopez,0-0,.28078818,0,0
Feliciano Lopez,0-15,.24561404,0,1
Feliciano Lopez,0-30,.2857143,0,2
Feliciano Lopez,0-40,.25,0,3
Feliciano Lopez,15-0,.34931508,1,0
Feliciano Lopez,15-15,.22340426,1,1
Feliciano Lopez,15-30,.38709676,1,2
Feliciano Lopez,15-40,.33333334,1,3
Feliciano Lopez,30-0,.31578946,2,0
Feliciano Lopez,30-15,.32038835,2,1
Feliciano Lopez,30-30,.26923078,2,2
Feliciano Lopez,30-40,.29166666,2,3
Feliciano Lopez,40-0,.33846155,3,0
Feliciano Lopez,40-15,.28260869,3,1
Feliciano Lopez,40-30,.234375,3,2
Feliciano Lopez,40-40,.3392857,3,3
Feliciano Lopez,40-50,.21052632,3,4
Feliciano Lopez,50-40,.24324325,4,3
Fernando Verdasco,0-0,.33990148,0,0
Fernando Verdasco,0-15,.30434781,0,1
Fernando Verdasco,0-30,.23809524,0,2
Fernando Verdasco,0-40,.2,0,3
Fernando Verdasco,15-0,.34328359,1,0
Fernando Verdasco,15-15,.22340426,1,1
Fernando Verdasco,15-30,.32432431,1,2
Fernando Verdasco,15-40,.25,1,3
Fernando Verdasco,30-0,.32954547,2,0
Fernando Verdasco,30-15,.29411766,2,1
Fernando Verdasco,30-30,.34545454,2,2
Fernando Verdasco,30-40,.22580644,2,3
Fernando Verdasco,40-0,.30508474,3,0
Fernando Verdasco,40-15,.27777779,3,1
Fernando Verdasco,40-30,.3114754,3,2
Fernando Verdasco,40-40,.34210527,3,3
Fernando Verdasco,40-50,.42307693,3,4
Fernando Verdasco,50-40,.36000001,4,3
Filip Krajinovic,0-0,.3877551,0,0
Filip Krajinovic,0-15,.2631579,0,1
Filip Krajinovic,0-30,.60000002,0,2
Filip Krajinovic,0-40,0,0,3
Filip Krajinovic,15-0,.30000001,1,0
Filip Krajinovic,15-15,.43478259,1,1
Filip Krajinovic,15-30,.41666666,1,2
Filip Krajinovic,15-40,.125,1,3
Filip Krajinovic,30-0,.2857143,2,0
Filip Krajinovic,30-15,.36842105,2,1
Filip Krajinovic,30-30,.2857143,2,2
Filip Krajinovic,30-40,.63636363,2,3
Filip Krajinovic,40-0,.33333334,3,0
Filip Krajinovic,40-15,.17647059,3,1
Filip Krajinovic,40-30,.46153846,3,2
Filip Krajinovic,40-40,.27272728,3,3
Filip Krajinovic,40-50,.66666669,3,4
Filip Krajinovic,50-40,0,4,3
Florian Mayer,0-0,.29032257,0,0
Florian Mayer,0-15,.55555558,0,1
Florian Mayer,0-30,.2,0,2
Florian Mayer,0-40,0,0,3
Florian Mayer,15-0,.40909091,1,0
Florian Mayer,15-15,.53846157,1,1
Florian Mayer,15-30,.45454547,1,2
Florian Mayer,15-40,.5,1,3
Florian Mayer,30-0,.15384616,2,0
Florian Mayer,30-15,.25,2,1
Florian Mayer,30-30,.375,2,2
Florian Mayer,30-40,.16666667,2,3
Florian Mayer,40-0,.27272728,3,0
Florian Mayer,40-15,.22222222,3,1
Florian Mayer,40-30,.42857143,3,2
Florian Mayer,40-40,.22222222,3,3
Florian Mayer,40-50,.25,3,4
Florian Mayer,50-40,.5,4,3
Gael Monfils,0-0,.33112583,0,0
Gael Monfils,0-15,.28,0,1
Gael Monfils,0-30,.5,0,2
Gael Monfils,0-40,.42857143,0,3
Gael Monfils,15-0,.39603961,1,0
Gael Monfils,15-15,.39473686,1,1
Gael Monfils,15-30,.27027026,1,2
Gael Monfils,15-40,.35714287,1,3
Gael Monfils,30-0,.40983605,2,0
Gael Monfils,30-15,.45070422,2,1
Gael Monfils,30-30,.32203391,2,2
Gael Monfils,30-40,.35714287,2,3
Gael Monfils,40-0,.27777779,3,0
Gael Monfils,40-15,.30612245,3,1
Gael Monfils,40-30,.32727271,3,2
Gael Monfils,40-40,.30000001,3,3
Gael Monfils,40-50,.19047619,3,4
Gael Monfils,50-40,.34693879,4,3
Gerald Melzer,0-0,.40000001,0,0
Gerald Melzer,0-15,.33333334,0,1
Gerald Melzer,0-30,.5,0,2
Gerald Melzer,0-40,1,0,3
Gerald Melzer,15-0,.33333334,1,0
Gerald Melzer,15-15,.5714286,1,1
Gerald Melzer,15-30,.40000001,1,2
Gerald Melzer,15-40,0,1,3
Gerald Melzer,30-0,.66666669,2,0
Gerald Melzer,30-15,.42857143,2,1
Gerald Melzer,30-30,.33333334,2,2
Gerald Melzer,30-40,.5,2,3
Gerald Melzer,40-0,.5,3,0
Gerald Melzer,40-15,.40000001,3,1
Gerald Melzer,40-30,.33333334,3,2
Gerald Melzer,40-40,0,3,3
Gerald Melzer,50-40,.2,4,3
Germain Gigounon,0-0,.53846157,0,0
Germain Gigounon,0-15,.2857143,0,1
Germain Gigounon,0-30,0,0,2
Germain Gigounon,15-0,.66666669,1,0
Germain Gigounon,15-15,.11111111,1,1
Germain Gigounon,15-30,.66666669,1,2
Germain Gigounon,15-40,0,1,3
Germain Gigounon,30-0,.5,2,0
Germain Gigounon,30-15,.22222222,2,1
Germain Gigounon,30-30,.33333334,2,2
Germain Gigounon,30-40,.66666669,2,3
Germain Gigounon,40-0,1,3,0
Germain Gigounon,40-15,.125,3,1
Germain Gigounon,40-30,0,3,2
Germain Gigounon,40-40,.33333334,3,3
Germain Gigounon,40-50,0,3,4
Germain Gigounon,50-40,.5,4,3
Gilles Muller,0-0,.2361111,0,0
Gilles Muller,0-15,.39215687,0,1
Gilles Muller,0-30,.30000001,0,2
Gilles Muller,0-40,.33333334,0,3
Gilles Muller,15-0,.27272728,1,0
Gilles Muller,15-15,.40789473,1,1
Gilles Muller,15-30,.26666668,1,2
Gilles Muller,15-40,.1875,1,3
Gilles Muller,30-0,.2,2,0
Gilles Muller,30-15,.26086956,2,1
Gilles Muller,30-30,.29411766,2,2
Gilles Muller,30-40,.17857143,2,3
Gilles Muller,40-0,.27083334,3,0
Gilles Muller,40-15,.19480519,3,1
Gilles Muller,40-30,.35294119,3,2
Gilles Muller,40-40,.31343284,3,3
Gilles Muller,40-50,.33333334,3,4
Gilles Muller,50-40,.26086956,4,3
Gilles Simon,0-0,.33333334,0,0
Gilles Simon,0-15,.42253521,0,1
Gilles Simon,0-30,.43333334,0,2
Gilles Simon,0-40,.46153846,0,3
Gilles Simon,15-0,.40845069,1,0
Gilles Simon,15-15,.35353535,1,1
Gilles Simon,15-30,.48076922,1,2
Gilles Simon,15-40,.4375,1,3
Gilles Simon,30-0,.35714287,2,0
Gilles Simon,30-15,.27659574,2,1
Gilles Simon,30-30,.3018868,2,2
Gilles Simon,30-40,.41176471,2,3
Gilles Simon,40-0,.37037036,3,0
Gilles Simon,40-15,.35227272,3,1
Gilles Simon,40-30,.38235295,3,2
Gilles Simon,40-40,.28235295,3,3
Gilles Simon,40-50,.45833334,3,4
Gilles Simon,50-40,.42622951,4,3
Go Soeda,0-0,.12,0,0
Go Soeda,0-15,0,0,1
Go Soeda,15-0,.18181819,1,0
Go Soeda,15-15,.14285715,1,1
Go Soeda,15-30,0,1,2
Go Soeda,30-0,.27777779,2,0
Go Soeda,30-15,.27272728,2,1
Go Soeda,30-30,.5,2,2
Go Soeda,30-40,0,2,3
Go Soeda,40-0,.30769232,3,0
Go Soeda,40-15,.16666667,3,1
Go Soeda,40-30,0,3,2
Go Soeda,40-40,.25,3,3
Go Soeda,40-50,0,3,4
Go Soeda,50-40,.33333334,4,3
Grigor Dimitrov,0-0,.33536586,0,0
Grigor Dimitrov,0-15,.27272728,0,1
Grigor Dimitrov,0-30,.40000001,0,2
Grigor Dimitrov,0-40,.16666667,0,3
Grigor Dimitrov,15-0,.33944955,1,0
Grigor Dimitrov,15-15,.4025974,1,1
Grigor Dimitrov,15-30,.40000001,1,2
Grigor Dimitrov,15-40,.47619048,1,3
Grigor Dimitrov,30-0,.2638889,2,0
Grigor Dimitrov,30-15,.2923077,2,1
Grigor Dimitrov,30-30,.30232558,2,2
Grigor Dimitrov,30-40,.20833333,2,3
Grigor Dimitrov,40-0,.39622641,3,0
Grigor Dimitrov,40-15,.26865673,3,1
Grigor Dimitrov,40-30,.35416666,3,2
Grigor Dimitrov,40-40,.3275862,3,3
Grigor Dimitrov,40-50,.36842105,3,4
Grigor Dimitrov,50-40,.25641027,4,3
Guido Pella,0-0,.29411766,0,0
Guido Pella,0-15,.2,0,1
Guido Pella,0-30,0,0,2
Guido Pella,15-0,.083333336,1,0
Guido Pella,15-15,0,1,1
Guido Pella,15-30,0,1,2
Guido Pella,30-0,.18181819,2,0
Guido Pella,30-15,.42857143,2,1
Guido Pella,30-30,.25,2,2
Guido Pella,30-40,1,2,3
Guido Pella,40-0,.22222222,3,0
Guido Pella,40-15,.16666667,3,1
Guido Pella,40-30,0,3,2
Guillermo Garcia-Lopez,0-0,.36423841,0,0
Guillermo Garcia-Lopez,0-15,.34545454,0,1
Guillermo Garcia-Lopez,0-30,.31578946,0,2
Guillermo Garcia-Lopez,0-40,.66666669,0,3
Guillermo Garcia-Lopez,15-0,.375,1,0
Guillermo Garcia-Lopez,15-15,.33333334,1,1
Guillermo Garcia-Lopez,15-30,.27027026,1,2
Guillermo Garcia-Lopez,15-40,.5,1,3
Guillermo Garcia-Lopez,30-0,.40000001,2,0
Guillermo Garcia-Lopez,30-15,.33333334,2,1
Guillermo Garcia-Lopez,30-30,.29411766,2,2
Guillermo Garcia-Lopez,30-40,.2857143,2,3
Guillermo Garcia-Lopez,40-0,.27777779,3,0
Guillermo Garcia-Lopez,40-15,.3275862,3,1
Guillermo Garcia-Lopez,40-30,.34545454,3,2
Guillermo Garcia-Lopez,40-40,.42307693,3,3
Guillermo Garcia-Lopez,40-50,.30303031,3,4
Guillermo Garcia-Lopez,50-40,.46666667,4,3
Hiroki Moriya,0-0,.40000001,0,0
Hiroki Moriya,0-15,.5,0,1
Hiroki Moriya,0-30,.33333334,0,2
Hiroki Moriya,0-40,1,0,3
Hiroki Moriya,15-0,.33333334,1,0
Hiroki Moriya,15-15,.16666667,1,1
Hiroki Moriya,15-30,0,1,2
Hiroki Moriya,30-0,0,2,0
Hiroki Moriya,30-15,.2,2,1
Hiroki Moriya,30-30,.5,2,2
Hiroki Moriya,30-40,0,2,3
Hiroki Moriya,40-0,.33333334,3,0
Hiroki Moriya,40-15,.5,3,1
Hiroki Moriya,40-30,.2,3,2
Hiroki Moriya,40-40,0,3,3
Hiroki Moriya,50-40,0,4,3
Horacio Zeballos,0-0,.30000001,0,0
Horacio Zeballos,0-15,.16666667,0,1
Horacio Zeballos,0-30,1,0,2
Horacio Zeballos,0-40,0,0,3
Horacio Zeballos,15-0,.14285715,1,0
Horacio Zeballos,15-15,0,1,1
Horacio Zeballos,15-40,1,1,3
Horacio Zeballos,30-0,.083333336,2,0
Horacio Zeballos,30-15,0,2,1
Horacio Zeballos,40-0,.27272728,3,0
Horacio Zeballos,40-15,.36363637,3,1
Horacio Zeballos,40-30,.25,3,2
Horacio Zeballos,40-40,.40000001,3,3
Horacio Zeballos,40-50,0,3,4
Horacio Zeballos,50-40,.66666669,4,3
Hyeon Chung,0-0,.32258064,0,0
Hyeon Chung,0-15,.40000001,0,1
Hyeon Chung,0-30,.5,0,2
Hyeon Chung,0-40,0,0,3
Hyeon Chung,15-0,.19047619,1,0
Hyeon Chung,15-15,.30000001,1,1
Hyeon Chung,15-30,.60000002,1,2
Hyeon Chung,15-40,.40000001,1,3
Hyeon Chung,30-0,.11764706,2,0
Hyeon Chung,30-15,.22222222,2,1
Hyeon Chung,30-30,.5,2,2
Hyeon Chung,30-40,.80000001,2,3
Hyeon Chung,40-0,.33333334,3,0
Hyeon Chung,40-15,.083333336,3,1
Hyeon Chung,40-30,.33333334,3,2
Hyeon Chung,40-40,0,3,3
Hyeon Chung,50-40,0,4,3
Igor Sijsling,0-0,.25806451,0,0
Igor Sijsling,0-15,.25,0,1
Igor Sijsling,0-30,0,0,2
Igor Sijsling,15-0,.39130434,1,0
Igor Sijsling,15-15,.2,1,1
Igor Sijsling,15-30,.2,1,2
Igor Sijsling,15-40,0,1,3
Igor Sijsling,30-0,.21428572,2,0
Igor Sijsling,30-15,.33333334,2,1
Igor Sijsling,30-30,.66666669,2,2
Igor Sijsling,30-40,.2857143,2,3
Igor Sijsling,40-0,.27272728,3,0
Igor Sijsling,40-15,.30769232,3,1
Igor Sijsling,40-30,.2857143,3,2
Igor Sijsling,40-40,.11111111,3,3
Igor Sijsling,40-50,1,3,4
Igor Sijsling,50-40,.25,4,3
Illya Marchenko,0-0,.40000001,0,0
Illya Marchenko,0-15,.33333334,0,1
Illya Marchenko,0-30,.5,0,2
Illya Marchenko,0-40,0,0,3
Illya Marchenko,15-0,.11111111,1,0
Illya Marchenko,15-15,.40000001,1,1
Illya Marchenko,15-30,.66666669,1,2
Illya Marchenko,15-40,0,1,3
Illya Marchenko,30-0,.375,2,0
Illya Marchenko,30-15,0,2,1
Illya Marchenko,30-30,1,2,2
Illya Marchenko,30-40,0,2,3
Illya Marchenko,40-0,.2,3,0
Illya Marchenko,40-15,.14285715,3,1
Illya Marchenko,40-30,1,3,2
Illya Marchenko,40-40,.14285715,3,3
Illya Marchenko,40-50,1,3,4
Illya Marchenko,50-40,.33333334,4,3
Ivan Dodig,0-0,.40425533,0,0
Ivan Dodig,0-15,.42105263,0,1
Ivan Dodig,0-30,.25,0,2
Ivan Dodig,0-40,0,0,3
Ivan Dodig,15-0,.2857143,1,0
Ivan Dodig,15-15,.15789473,1,1
Ivan Dodig,15-30,.11111111,1,2
Ivan Dodig,15-40,.66666669,1,3
Ivan Dodig,30-0,.25,2,0
Ivan Dodig,30-15,.2857143,2,1
Ivan Dodig,30-30,.2857143,2,2
Ivan Dodig,30-40,.2,2,3
Ivan Dodig,40-0,.26666668,3,0
Ivan Dodig,40-15,.2631579,3,1
Ivan Dodig,40-30,.46666667,3,2
Ivan Dodig,40-40,.27272728,3,3
Ivan Dodig,40-50,.5,3,4
Ivan Dodig,50-40,.5,4,3
Ivo Karlovic,0-0,.29081634,0,0
Ivo Karlovic,0-15,.19298245,0,1
Ivo Karlovic,0-30,.27272728,0,2
Ivo Karlovic,0-40,0,0,3
Ivo Karlovic,15-0,.26618704,1,0
Ivo Karlovic,15-15,.20481928,1,1
Ivo Karlovic,15-30,.28,1,2
Ivo Karlovic,15-40,.40000001,1,3
Ivo Karlovic,30-0,.24509804,2,0
Ivo Karlovic,30-15,.30769232,2,1
Ivo Karlovic,30-30,.28260869,2,2
Ivo Karlovic,30-40,.10526316,2,3
Ivo Karlovic,40-0,.32467532,3,0
Ivo Karlovic,40-15,.27272728,3,1
Ivo Karlovic,40-30,.42105263,3,2
Ivo Karlovic,40-40,.2,3,3
Ivo Karlovic,40-50,.15384616,3,4
Ivo Karlovic,50-40,.25,4,3
Jack Sock,0-0,.35051546,0,0
Jack Sock,0-15,.33823529,0,1
Jack Sock,0-30,.26086956,0,2
Jack Sock,0-40,.33333334,0,3
Jack Sock,15-0,.35714287,1,0
Jack Sock,15-15,.35555556,1,1
Jack Sock,15-30,.32653061,1,2
Jack Sock,15-40,.44999999,1,3
Jack Sock,30-0,.19753087,2,0
Jack Sock,30-15,.35135135,2,1
Jack Sock,30-30,.40677965,2,2
